user_id,product_id,product_name,category,price,rating
173,CL_7198,Adidas Shoes,Shoes,1266.79,2.8
87,HO_7443,Ariel Detergent,Detergent,651.85,3.4
131,GR_9738,Britannia Bread,Bakery,129.5,1.1
172,GR_1806,Amul Milk,Milk,649.23,3.9
463,EL_2072,Apple Smartwatch,Smartwatch,5423.95,1.6
365,EL_8237,Samsung Smartphone,Electronics,42973.85,3.9
456,CL_4160,Adidas Shoes,Shoes,807.66,2.2
80,CL_6071,Adidas Shoes,Shoes,2366.27,4.8
465,CL_1623,Levi's Jeans,Jeans,4897.27,1.6
235,EL_8472,Lenovo Tablet,Tablet,31213.52,2.5
121,CL_3628,Levi's Jeans,Jeans,3989.26,4.1
89,EL_5285,Lenovo Tablet,Tablet,24822.26,2.8
375,HO_1332,Vim Dishwashing Liquid,Dishwashing Liquid,664.65,2.3
343,GR_9107,Daawat Rice,Rice,704.99,3.7
453,GR_2675,Daawat Rice,Rice,296.46,4.1
449,HO_7369,Surf Excel Detergent,Detergent,330.41,3.5
393,CL_6748,Nike T-Shirt,T-Shirt,781.24,2.4
465,EL_1235,Apple Smartwatch,Smartwatch,31098.62,3.6
427,GR_6880,Britannia Bread,Bakery,664.47,3.2
169,GR_7865,Saffola Cooking Oil,Oil,301.94,4.4
121,HO_1145,LG Refrigerator,Home Appliances,29261.37,4.5
31,GR_5837,Local Farm Eggs,Egg,581.99,4.6
395,GR_5059,Amul Milk,Milk,992.16,3.2
316,GR_5223,Daawat Rice,Rice,643.9,1.2
206,HO_5984,Whirlpool Washing Machine,Home Appliances,23035.73,3.9
490,HO_2830,Pril Dishwashing Liquid,Dishwashing Liquid,186.54,1.9
173,HO_9056,Whirlpool Washing Machine,Home Appliances,37159.22,2.6
259,HO_1516,Daikin Air Conditioner,Home Appliances,37482.16,2.4
399,HO_9490,Surf Excel Detergent,Detergent,730.9,1.4
143,HO_4936,Whirlpool Washing Machine,Home Appliances,17939.97,4.2
216,GR_5622,Saffola Cooking Oil,Oil,841.18,4.4
314,HO_2080,LG Refrigerator,Home Appliances,22187.4,2.1
259,EL_3560,Lenovo Tablet,Tablet,26723.68,1.3
348,HO_3831,Tide Detergent,Detergent,279.79,5
250,CL_9650,Levi's Jeans,Jeans,3134.25,3.3
270,CL_4557,Adidas Shoes,Shoes,4972.38,1.2
185,GR_9194,Sundrop Cooking Oil,Groceries,296.98,2.4
170,EL_1031,Samsung Smartphone,Electronics,39871.52,1.7
251,EL_5383,Dell Laptop,Laptop,21217.22,3.4
108,GR_4783,Saffola Cooking Oil,Oil,852.29,1.1
482,GR_1808,Amul Milk,Milk,291.58,3.3
131,CL_7473,Levi's Jeans,Jeans,4586.91,3.4
56,EL_2402,Lenovo Tablet,Tablet,6239.22,1
140,HO_7857,Surf Excel Detergent,Detergent,281.46,3.2
110,HO_3131,LG Refrigerator,Home Appliances,24258.96,3.9
152,HO_2035,Ariel Detergent,Detergent,166.93,2.3
464,HO_6078,Daikin Air Conditioner,Home Appliances,28797.19,1.3
77,GR_8296,Daawat Rice,Rice,663.58,4.1
288,GR_6142,Local Farm Eggs,Egg,487.15,2.4
131,HO_9376,LG Refrigerator,Home Appliances,31920.35,3.7
26,HO_9619,LG Refrigerator,Home Appliances,9028.69,4.6
56,CL_7700,Adidas Shoes,Shoes,2052.47,2.9
439,GR_9564,Amul Milk,Milk,322.63,2.1
15,GR_9188,Saffola Cooking Oil,Oil,901.16,4.2
373,HO_2208,LG Refrigerator,Home Appliances,7927.11,1.6
58,GR_1011,Britannia Bread,Bakery,768.23,4.7
371,HO_6178,Samsung Microwave,Home Appliances,35521.28,2.2
19,CL_8068,Levi's Jeans,Jeans,2117.93,2.5
82,CL_6035,Puma Jacket,Clothing,2218.03,1.1
212,CL_2040,Levi's Jeans,Jeans,3285.65,1.3
276,EL_7619,Dell Laptop,Laptop,12990.97,1.4
458,GR_2049,Sundrop Cooking Oil,Groceries,552.75,4.1
313,GR_2618,Saffola Cooking Oil,Oil,296.71,1.5
447,GR_7663,Fortune Cooking Oil,Oil,310.67,2.9
82,EL_6549,Apple Smartwatch,Smartwatch,21155.02,3.6
432,HO_5808,Pril Dishwashing Liquid,Dishwashing Liquid,794.05,1.9
373,CL_2721,Adidas Shoes,Shoes,850.75,1.3
37,GR_7674,Daawat Rice,Rice,695.66,3.5
250,HO_1063,Daikin Air Conditioner,Home Appliances,17181.92,4.2
239,CL_2500,Nike T-Shirt,T-Shirt,2601.31,1.3
236,HO_3911,LG Refrigerator,Home Appliances,37830.75,3.9
259,EL_2130,Apple Smartwatch,Smartwatch,33968.25,3.3
286,GR_4318,Amul Milk,Milk,633.9,2.9
110,HO_4878,LG Refrigerator,Home Appliances,22441.04,3.2
334,HO_7667,Ariel Detergent,Detergent,649.24,2.2
443,CL_4766,Adidas Shoes,Shoes,1446.32,3.6
38,HO_9663,Finish Dishwashing Liquid,Dishwashing Liquid,961.6,4.5
423,CL_7019,Adidas Shoes,Shoes,1424.15,3
267,GR_8562,Daawat Rice,Rice,242.07,3.2
393,GR_4549,Local Farm Eggs,Egg,465.26,2.7
478,HO_1704,Samsung Microwave,Home Appliances,25033.88,3.8
169,HO_7254,Samsung Microwave,Home Appliances,10082.85,5
377,EL_2311,Dell Laptop,Laptop,47961.71,1.5
42,HO_6863,Daikin Air Conditioner,Home Appliances,26104.21,3.7
466,EL_8464,Apple Smartwatch,Smartwatch,10740.76,5
5,HO_3527,Tide Detergent,Detergent,925.8,3.7
482,CL_5448,Adidas Shoes,Shoes,2454.02,4.1
94,HO_7318,Finish Dishwashing Liquid,Dishwashing Liquid,563.16,4.3
346,HO_8470,Vim Dishwashing Liquid,Dishwashing Liquid,909.22,4.7
27,GR_4002,Daawat Rice,Rice,216.03,5
136,GR_8526,Sundrop Cooking Oil,Groceries,805.44,1.8
382,HO_2665,LG Refrigerator,Home Appliances,16753.22,2.8
384,GR_1875,Daawat Rice,Rice,219.94,2.1
402,GR_2988,Fortune Cooking Oil,Oil,456.68,2.5
221,GR_7405,Daawat Rice,Rice,921.96,3.9
342,GR_3252,Local Farm Eggs,Egg,113.5,4.8
417,EL_5956,Apple Smartwatch,Smartwatch,38769.57,2.1
253,EL_8446,Samsung Smartphone,Electronics,41374.39,3.4
195,CL_6490,Levi's Jeans,Jeans,4372.81,2.8
499,EL_3962,Dell Laptop,Laptop,9048.73,1.3
225,HO_1242,Vim Dishwashing Liquid,Dishwashing Liquid,260.76,2.2
286,GR_7698,Daawat Rice,Rice,153.14,3.1
301,GR_6996,Daawat Rice,Rice,397.25,2.7
199,HO_1039,LG Refrigerator,Home Appliances,9132.45,3.5
83,HO_4515,Surf Excel Detergent,Detergent,767.39,2.2
286,HO_7014,Whirlpool Washing Machine,Home Appliances,21663.82,4.5
472,GR_3755,Sundrop Cooking Oil,Groceries,382.28,2.2
370,GR_9966,Britannia Bread,Bakery,407.43,3.2
323,HO_6463,Daikin Air Conditioner,Home Appliances,33603.81,2.2
212,GR_6374,Daawat Rice,Rice,690.98,2.7
155,HO_1761,LG Refrigerator,Home Appliances,13409.32,1.2
410,GR_9998,Daawat Rice,Rice,361.64,2.5
222,HO_9885,Tide Detergent,Detergent,491.19,2.7
77,CL_5228,Levi's Jeans,Jeans,1318.11,2.5
